lad19cd,lad19nm,index_of_multiple_deprivation,income_deprivation,employment_deprivation,education_skills_and_training,health_deprivation_and_disability,crime,barriers_to_housing_and_services,living_environment_deprivation,income_deprivation_affecting_children,income_deprivation_affecting_older_people,country,region_code,region_name
E06000001,Hartlepool,1,1,1,2,1,1,9,10,1,1,England,E12000001,North East
E06000002,Middlesbrough,1,1,1,1,1,1,9,9,1,1,England,E12000001,North East
E06000003,Redcar and Cleveland,2,1,1,3,1,4,10,10,1,3,England,E12000001,North East
E06000004,Stockton-on-Tees,3,2,2,4,2,5,9,10,2,3,England,E12000001,North East
E06000005,Darlington,3,3,2,3,2,1,10,10,3,3,England,E12000001,North East
E06000006,Halton,1,1,1,2,1,3,9,5,1,2,England,E12000002,North West
E06000007,Warrington,5,5,4,6,3,6,8,6,6,5,England,E12000002,North West
E06000008,Blackburn with Darwen,1,1,1,1,1,2,10,2,2,1,England,E12000002,North West
E06000009,Blackpool,1,1,1,1,1,1,10,1,1,1,England,E12000002,North West
E06000010,"Kingston upon Hull, City of",1,1,1,1,1,1,6,1,1,1,England,E12000003,Yorkshire and The Humber
E06000011,East Riding of Yorkshire,7,7,6,7,7,8,7,6,7,6,England,E12000003,Yorkshire and The Humber
E06000012,North East Lincolnshire,1,1,1,1,3,2,10,3,1,3,England,E12000003,Yorkshire and The Humber
E06000013,North Lincolnshire,4,4,3,2,3,4,9,7,4,4,England,E12000003,Yorkshire and The Humber
E06000014,York,9,9,9,7,6,10,9,6,9,8,England,E12000003,Yorkshire and The Humber
E06000015,Derby,3,2,3,1,2,5,7,5,2,3,England,E12000004,East Midlands
E06000016,Leicester,1,1,3,1,2,2,9,3,1,1,England,E12000004,East Midlands
E06000017,Rutland,10,10,10,10,10,10,4,7,10,10,England,E12000004,East Midlands
E06000018,Nottingham,1,1,2,1,1,2,4,2,1,1,England,E12000004,East Midlands
E06000019,"Herefordshire, County of",5,6,6,5,6,9,2,1,7,6,England,E12000005,West Midlands
E06000020,Telford and Wrekin,3,2,3,3,2,3,7,10,2,3,England,E12000005,West Midlands
E06000021,Stoke-on-Trent,1,1,1,1,1,2,9,4,1,2,England,E12000005,West Midlands
E06000022,Bath and North East Somerset,9,8,8,8,8,7,8,8,8,8,England,E12000009,South West
E06000023,"Bristol, City of",3,3,4,3,3,1,4,4,2,2,England,E12000009,South West
E06000024,North Somerset,7,6,5,7,6,6,8,10,7,7,England,E12000009,South West
E06000025,South Gloucestershire,9,8,8,6,9,6,7,10,8,8,England,E12000009,South West
E06000026,Plymouth,2,3,2,4,2,5,8,3,3,3,England,E12000009,South West
E06000027,Torbay,2,2,1,4,2,4,6,5,2,2,England,E12000009,South West
E06000030,Swindon,5,5,6,4,5,3,7,8,5,5,England,E12000009,South West
E06000031,Peterborough,2,2,3,1,3,1,2,6,2,3,England,E12000006,East
E06000032,Luton,3,3,4,3,3,2,1,4,3,2,England,E12000006,East
E06000033,Southend-on-Sea,4,3,3,4,4,3,8,6,3,3,England,E12000006,East
E06000034,Thurrock,5,4,6,2,6,3,3,7,3,4,England,E12000006,East
E06000035,Medway,3,4,4,3,4,1,7,3,3,4,England,E12000008,South East
E06000036,Bracknell Forest,10,9,9,7,9,10,2,10,9,7,England,E12000008,South East
E06000037,West Berkshire,10,9,9,8,9,9,6,7,9,10,England,E12000008,South East
E06000038,Reading,5,5,7,5,5,4,2,4,5,3,England,E12000008,South East
E06000039,Slough,4,4,6,5,4,2,1,4,6,2,England,E12000008,South East
E06000040,Windsor and Maidenhead,10,10,10,10,10,8,7,8,10,9,England,E12000008,South East
E06000041,Wokingham,10,10,10,10,10,10,5,10,10,10,England,E12000008,South East
E06000042,Milton Keynes,6,5,6,5,6,6,1,10,5,5,England,E12000008,South East
E06000043,Brighton and Hove,5,4,5,6,4,5,4,3,5,2,England,E12000008,South East
E06000044,Portsmouth,2,4,5,3,3,1,6,1,3,3,England,E12000008,South East
E06000045,Southampton,2,4,5,3,2,1,7,2,3,3,England,E12000008,South East
E06000046,Isle of Wight,4,4,2,3,4,6,8,2,4,5,England,E12000008,South East
E06000047,County Durham,2,2,2,4,1,3,10,10,2,3,England,E12000001,North East
E06000049,Cheshire East,7,8,7,8,6,7,7,6,8,9,England,E12000002,North West
E06000050,Cheshire West and Chester,6,6,5,6,4,7,9,5,6,6,England,E12000002,North West
E06000051,Shropshire,6,7,6,6,7,8,3,2,7,6,England,E12000005,West Midlands
E06000052,Cornwall,4,4,3,6,4,9,3,1,4,4,England,E12000009,South West
E06000053,Isles of Scilly,9,10,10,10,10,9,6,1,10,10,England,E12000009,South West
E06000054,Wiltshire,8,8,8,7,8,8,3,6,8,8,England,E12000009,South West
E06000055,Bedford,5,5,5,6,5,5,3,5,5,6,England,E12000006,East
E06000056,Central Bedfordshire,9,8,9,7,9,6,6,8,7,8,England,E12000006,East
E06000057,Northumberland,4,4,3,4,4,6,5,10,4,6,England,E12000001,North East
E06000058,"Bournemouth, Christchurch and Poole",6,5,5,5,5,5,6,6,6,5,England,E12000009,South West
E06000059,Dorset,7,7,6,6,6,9,3,6,7,8,England,E12000009,South West
E07000004,Aylesbury Vale,9,9,9,8,9,8,3,9,9,9,England,E12000008,South East
E07000005,Chiltern,10,10,10,10,10,9,5,10,10,10,England,E12000008,South East
E07000006,South Bucks,10,10,10,10,10,5,2,8,10,10,England,E12000008,South East
E07000007,Wycombe,9,8,9,8,10,9,4,10,9,8,England,E12000008,South East
E07000008,Cambridge,7,8,9,9,7,4,4,2,7,6,England,E12000006,East
E07000009,East Cambridgeshire,9,9,9,7,10,9,2,7,9,8,England,E12000006,East
E07000010,Fenland,3,3,3,1,2,5,4,7,3,4,England,E12000006,East
E07000011,Huntingdonshire,8,8,8,6,8,7,4,7,8,9,England,E12000006,East
E07000012,South Cambridgeshire,10,10,10,10,10,8,3,9,10,10,England,E12000006,East
E07000026,Allerdale,4,5,3,3,4,8,7,3,5,6,England,E12000002,North West
E07000027,Barrow-in-Furness,1,2,1,3,1,8,10,1,3,4,England,E12000002,North West
E07000028,Carlisle,4,5,3,2,3,7,8,5,5,6,England,E12000002,North West
E07000029,Copeland,3,4,2,2,1,9,7,5,4,5,England,E12000002,North West
E07000030,Eden,6,9,9,6,8,10,2,1,9,10,England,E12000002,North West
E07000031,South Lakeland,8,10,9,9,7,10,6,2,10,10,England,E12000002,North West
E07000032,Amber Valley,6,5,5,4,4,9,8,7,5,5,England,E12000004,East Midlands
E07000033,Bolsover,3,3,2,1,2,8,9,8,3,4,England,E12000004,East Midlands
E07000034,Chesterfield,3,3,2,4,1,9,9,10,3,4,England,E12000004,East Midlands
E07000035,Derbyshire Dales,9,9,9,9,8,10,5,4,9,10,England,E12000004,East Midlands
E07000036,Erewash,5,5,4,3,5,7,10,5,4,5,England,E12000004,East Midlands
E07000037,High Peak,7,7,6,7,5,9,9,5,7,6,England,E12000004,East Midlands
E07000038,North East Derbyshire,6,5,4,4,4,10,10,9,6,6,England,E12000004,East Midlands
E07000039,South Derbyshire,7,8,7,5,6,9,6,6,7,7,England,E12000004,East Midlands
E07000040,East Devon,8,8,7,8,8,10,7,4,8,9,England,E12000009,South West
E07000041,Exeter,6,7,7,6,5,7,8,4,6,5,England,E12000009,South West
E07000042,Mid Devon,6,7,7,5,9,10,3,1,7,7,England,E12000009,South West
E07000043,North Devon,5,5,5,5,4,9,2,2,6,5,England,E12000009,South West
E07000044,South Hams,8,7,7,10,8,10,5,2,8,8,England,E12000009,South West
E07000045,Teignbridge,7,6,6,7,6,9,7,3,6,6,England,E12000009,South West
E07000046,Torridge,4,5,4,4,4,10,1,1,5,5,England,E12000009,South West
E07000047,West Devon,6,6,6,8,6,10,3,1,7,7,England,E12000009,South West
E07000061,Eastbourne,4,3,3,4,5,5,5,8,3,4,England,E12000008,South East
E07000062,Hastings,1,1,1,2,2,2,2,4,1,2,England,E12000008,South East
E07000063,Lewes,7,6,6,5,7,8,3,8,6,7,England,E12000008,South East
E07000064,Rother,5,5,4,5,5,7,2,4,5,7,England,E12000008,South East
E07000065,Wealden,8,9,9,8,10,9,2,5,9,9,England,E12000008,South East
E07000066,Basildon,4,4,4,2,5,2,3,10,3,4,England,E12000006,East
E07000067,Braintree,7,7,7,5,7,7,6,8,7,6,England,E12000006,East
E07000068,Brentwood,10,9,10,9,10,5,5,10,9,9,England,E12000006,East
E07000069,Castle Point,6,6,6,2,6,6,7,10,5,6,England,E12000006,East
E07000070,Chelmsford,8,8,8,8,9,6,3,9,8,9,England,E12000006,East
E07000071,Colchester,6,6,7,7,5,5,2,9,5,7,England,E12000006,East
E07000072,Epping Forest,7,7,8,5,9,3,4,6,7,6,England,E12000006,East
E07000073,Harlow,4,4,4,3,4,3,2,10,3,4,England,E12000006,East
E07000074,Maldon,7,7,7,5,8,9,5,6,7,8,England,E12000006,East
E07000075,Rochford,9,9,9,5,9,8,7,10,9,8,England,E12000006,East
E07000076,Tendring,2,2,1,1,2,3,7,5,1,4,England,E12000006,East
E07000077,Uttlesford,10,10,10,9,10,8,1,8,10,9,England,E12000006,East
